Band,Frequency,Delta_T band,T_band avg,Percent Difference,Picowatt Loading
Medium,195-245,0.0017082281228541964,14.275628627862984,0.00013162630550339713,7.313496372582952
High,245-310,0.8682546803361338,14.976796914860225,0.05693368830752073,10.14183050120878
LMT_annual_5.out,mirrors.csv,warm_optics.csv,input_files/model_V1.csv,window.csv,cold_optics_mid_up.csv,detector.csv
Low,128-170,-2.003600923642229,13.529696570362017,-0.14581284043049722,6.1088163927299695
Medium,195-245,0.0015184249980927313,12.68944766921154,0.0001316263055034059,6.50088566451818
High,245-310,0.7717819380765633,13.312708368764646,0.05693368830752072,9.014960445518915
LMT_annual_5.out,mirrors.csv,warm_optics.csv,input_files/model_V1.csv,window.csv,cold_optics_mid_up.csv,detector_up.csv
Low,128-170,-1.7531508081869502,11.83848449906676,-0.14581284043049728,5.3452143436387205
Medium,195-245,0.0013286218733309526,11.1032667105601,0.00013162630550338946,5.688274956453408
High,245-310,0.675309195816993,11.648619822669062,0.05693368830752074,7.888090389829049
LMT_annual_5.out,mirrors.csv,warm_optics.csv,input_files/model_V1.csv,window.csv,cold_optics_up_down.csv,detector_down.csv
Low,128-170,-0.9660218738989321,5.909575870932926,-0.16039119154497183,2.656695019802479
Medium,195-245,0.0007320977669374853,5.330086378354431,0.00017916536615249175,2.711969403567945
High,245-310,0.3721091487154861,5.602716148956011,0.06508146841372928,3.7746836303559923
LMT_annual_5.out,mirrors.csv,warm_optics.csv,input_files/model_V1.csv,window.csv,cold_optics_up_down.csv,detector.csv
Low,128-170,-0.8586861101323843,5.252956329718157,-0.1603911915449719,2.36150668426887
Medium,195-245,0.0006507535706110884,4.737854558537271,0.0001791653661524889,2.410639469838174
High,245-310,0.3307636877470989,4.980192132405345,0.0650814684137293,3.3552743380942167
LMT_annual_5.out,mirrors.csv,warm_optics.csv,input_files/model_V1.csv,window.csv,cold_optics_up_down.csv,detector_up.csv
Low,128-170,-0.7513503463658359,4.596336788503386,-0.16039119154497186,2.0663183487352614
Medium,195-245,0.0005694093742846741,4.145622738720112,0.0001791653661524829,2.1093095361084018
High,245-310,0.28941822677871143,4.357668115854676,0.06508146841372928,2.9358650458324385
LMT_annual_5.out,mirrors.csv,warm_optics.csv,input_files/model_V1.csv,window.csv,cold_optics_up_mid.csv,detector_down.csv
Low,128-170,-0.9660218738989319,6.858539451813642,-0.13829119414403765,3.1008435964779206
Medium,195-245,0.0007320977669374157,6.097281245467237,0.000198935624262731,3.121564607498794
High,245-310,0.3721091487154862,6.217992542993961,0.058922146541001724,4.2027563148112215
LMT_annual_5.out,mirrors.csv,warm_optics.csv,input_files/model_V1.csv,window.csv,cold_optics_up_mid.csv,detector.csv
Low,128-170,-0.8586861101323839,6.096479512723236,-0.13829119414403762,2.756305419091485
Medium,195-245,0.0006507535706110884,5.419805551526433,0.00019893562426274132,2.774724095554483
High,245-310,0.3307636877470988,5.527104482661299,0.0589221465410017,3.735783390943308
LMT_annual_5.out,mirrors.csv,warm_optics.csv,input_files/model_V1.csv,window.csv,cold_optics_up_mid.csv,detector_up.csv
Low,128-170,-0.7513503463658359,5.334419573632832,-0.13829119414403765,2.4117672417050495
Medium,195-245,0.0005694093742846218,4.742329857585628,0.00019893562426272332,2.4278835836101726
High,245-310,0.28941822677871154,4.836216422328635,0.05892214654100172,3.268810467075395
LMT_annual_5.out,mirrors.csv,warm_optics.csv,input_files/model_V1.csv,window.csv,cold_optics_up_up.csv,detector_down.csv
Low,128-170,-0.9660218738989318,10.04642924598602,-0.09473702766404346,4.592468822306065
Medium,195-245,0.0007320977669373635,9.017489661047804,0.00015215399459088982,4.681099180426737
High,245-310,0.372109148715486,8.87899537437809,0.0416131591400228,6.059211981573064
LMT_annual_5.out,mirrors.csv,warm_optics.csv,input_files/model_V1.csv,window.csv,cold_optics_up_up.csv,detector.csv
Low,128-170,-0.8586861101323839,8.930159329765354,-0.09473702766404342,4.082194508716503
