,Capacitive axis,,,Inductive axis,,,,,,MHWP_v2,,,,Temperature (K),
Freq,Tx_C,Rx_C,Abs_C,Tx_L,Rx_L,Abs_L,DPh,45d X-Pol,Model:,Msh_HWP_Toltec_2019_01_13c,,,,emitted,reflected
196,0.981378,0.00537818,0.0132434,0.926186,0.0571885,0.0166256,193.75928,-18.576414,,,,,,290,45
197,0.979508,0.00726707,0.0132248,0.928754,0.0546273,0.0166191,193.76273,-18.582098,,,,,,290,45
198,0.977523,0.00930034,0.0131768,0.93101,0.0523828,0.0166068,193.77395,-18.582767,,,,,,290,45
199,0.975525,0.0113724,0.0131024,0.93299,0.0504232,0.0165872,193.79049,-18.579586,,,,,,290,45
200,0.973627,0.0133682,0.013005,0.934754,0.0486859,0.0165602,193.80977,-18.573837,,,,,,290,45
201,0.972343,0.0150734,0.0125832,0.936604,0.0472579,0.0161381,193.79674,-18.585339,,,,,,290,45
202,0.971467,0.0164299,0.0121033,0.938428,0.0459117,0.0156604,193.77387,-18.601167,,,,,,290,45
203,0.971088,0.0173405,0.0115713,0.940325,0.0445411,0.0151338,193.73812,-18.623017,,,,,,290,45
204,0.971273,0.0177342,0.0109926,0.942391,0.0430437,0.0145654,193.6867,-18.652496,,,,,,290,45
205,0.972056,0.0175739,0.0103703,0.944708,0.04133,0.0139618,193.61709,-18.691181,,,,,,290,45
206,0.973433,0.0168618,0.00970542,0.94734,0.0393307,0.0133296,193.52726,-18.740558,,,,,,290,45
207,0.975361,0.0156425,0.00899683,0.950321,0.0370033,0.0126752,193.41565,-18.80205,,,,,,290,45
208,0.977754,0.0140045,0.00824122,0.953661,0.0343354,0.012004,193.28132,-18.876946,,,,,,290,45
209,0.980489,0.0120777,0.00743345,0.957332,0.0313466,0.0113219,193.12397,-18.966371,,,,,,290,45
210,0.983404,0.0100288,0.00656691,0.961278,0.028088,0.0106335,192.94394,-19.071242,,,,,,290,45
211,0.985494,0.00816819,0.00633737,0.96505,0.024603,0.0103469,192.83587,-19.132157,,,,,,290,45
212,0.987276,0.00655312,0.00617122,0.968847,0.0210411,0.0101119,192.72679,-19.195235,,,,,,290,45
213,0.988574,0.0053585,0.00606717,0.972548,0.0175251,0.00992735,192.61926,-19.259341,,,,,,290,45
214,0.989234,0.0047415,0.00602459,0.976024,0.0141846,0.00979153,192.5162,-19.322959,,,,,,290,45
215,0.989129,0.00482817,0.006043,0.979151,0.0111467,0.00970249,192.42069,-19.384256,,,,,,290,45
216,0.988176,0.00570197,0.0061224,0.981815,0.00852677,0.00965789,192.33585,-19.441153,,,,,,290,45
217,0.986342,0.00739519,0.00626273,0.983926,0.0064187,0.00965501,192.26453,-19.491521,,,,,,290,45
218,0.983651,0.00988483,0.00646412,0.985421,0.00488805,0.00969065,192.20923,-19.533328,,,,,,290,45
219,0.980182,0.0130923,0.00672568,0.986271,0.00396695,0.00976167,192.17196,-19.564744,,,,,,290,45
