,Capacitive axis,,,Inductive axis,,,,,,MHWP_v1,,,,Temperature (K),
Freq,Tx_C,Rx_C,Abs_C,Tx_L,Rx_L,Abs_L,DPh,45d X-Pol,Model:,Msh_HWP_Toltec_2019_01_13g,,,,emitted,reflected
145,0.990894,0.00482028,0.00428582,0.95593,0.00683836,0.0372317,178.14711,-34.776367,,,,,,290,25
146,0.993054,0.00266143,0.00428495,0.957864,0.00578494,0.036351,179.06229,-38.396206,,,,,,290,25
147,0.994129,0.00152048,0.00435087,0.958953,0.0056039,0.0354427,179.92915,-40.99316,,,,,,290,25
148,0.994163,0.00135148,0.00448519,0.959399,0.00608677,0.0345147,180.75013,-39.236658,,,,,,290,25
149,0.993249,0.00206161,0.00468921,0.959434,0.00698774,0.0335783,181.52919,-36.072558,,,,,,290,25
150,0.991517,0.0035194,0.00496335,0.959303,0.00805127,0.0326452,182.27173,-33.47042,,,,,,290,25
151,0.989309,0.00558542,0.00510575,0.959173,0.00906189,0.0317653,182.96348,-31.489778,,,,,,290,25
152,0.986653,0.00807488,0.00527167,0.959277,0.0098164,0.0309066,183.62782,-29.901724,,,,,,290,25
153,0.983737,0.0108037,0.00545924,0.959766,0.0101629,0.0300713,184.27181,-28.580209,,,,,,290,25
154,0.980742,0.0135915,0.00566659,0.960731,0.0100095,0.0292591,184.90224,-27.444416,,,,,,290,25
155,0.977836,0.0162716,0.00589291,0.962202,0.00933089,0.0284676,185.52528,-26.441402,,,,,,290,25
156,0.975164,0.0186981,0.00613795,0.964138,0.00816998,0.0276924,186.14606,-25.536994,,,,,,290,25
157,0.972846,0.0207521,0.00640189,0.966436,0.0066359,0.0269281,186.76834,-24.708968,,,,,,290,25
158,0.970969,0.0223452,0.00668527,0.968934,0.00489799,0.0261682,187.39423,-23.943429,,,,,,290,25
159,0.969589,0.0234215,0.00698954,0.971417,0.00317591,0.0254068,188.02402,-23.232124,,,,,,290,25
160,0.968726,0.0239581,0.00731613,0.973636,0.00172596,0.0246385,188.65601,-22.570754,,,,,,290,25
161,0.968459,0.023956,0.00758532,0.975125,0.000817995,0.0240567,189.37522,-21.875494,,,,,,290,25
